"","V1","V1.1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"48","YAL056W",110,110,110,110,110,110,161,161,161,110,139,139,179,110,110,69,139
"49","YAL059W",294,369,383,330,350,340,376,358,333,326,304,318,314,314,343,309,330
"50","YAL060W",304,179,195,208,208,220,256,240,256,264,256,264,289,240,264,264,271
"51","YAL062W",240,230,208,161,161,139,110,110,110,69,69,69,110,110,0,69,0
"52","YAL063C",195,139,139,110,139,139,161,110,139,0,110,139,161,110,110,139,110
"53","YAL064W",161,69,69,69,69,69,69,69,69,69,0,69,69,69,69,0,0
"54","YAL065C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","YAL067C",69,0,0,139,179,139,69,0,0,0,0,0,0,0,0,0,0
"56","YAL068C",283,277,294,294,304,256,271,289,277,300,277,283,277,271,289,248,264
"57","YAR002C-A",492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492
"58","YAR003W",179,208,240,208,161,195,195,179,195,110,195,208,230,139,179,161,139
"59","YAR007C",208,256,350,283,220,208,208,179,220,264,304,304,300,264,220,179,208
"60","YAR008W",179,264,333,283,230,208,208,179,220,220,277,271,304,230,208,139,179
"61","YAR009C",409,381,417,385,447,374,430,401,374,450,423,409,381,404,443,404,475
"62","YAR010C",395,343,356,358,374,322,371,366,340,314,371,356,361,385,389,347,430
"63","YAR014C",240,208,240,230,256,208,240,230,230,195,208,230,248,195,208,161,195
"64","YAR015W",300,283,322,330,340,300,318,309,283,264,264,283,294,277,289,271,289
"65","YAR018C",220,179,161,195,195,195,289,347,343,230,248,230,220,161,220,240,277
"66","YAR019C",179,110,110,139,139,69,110,161,139,110,139,139,139,69,110,69,110
"67","YAR020C",240,208,248,240,248,208,248,240,220,304,256,264,248,240,256,208,240
"68","YAR030C",220,195,195,195,179,179,220,195,195,139,161,161,195,179,195,139,139
"69","YAR031W",179,139,139,110,161,110,139,110,110,69,110,110,139,69,69,69,69
"70","YAR035W",69,0,110,110,161,110,139,110,110,110,69,110,69,69,69,69,0
"71","YAR044W",195,139,139,139,139,110,195,179,179,110,161,161,195,139,161,110,139
"72","YAR052C",69,69,110,69,139,139,110,139,110,69,69,110,69,0,0,0,69
"73","YAR053W",240,220,230,195,195,195,220,161,195,161,161,179,195,179,195,139,139
"74","YAR060C",110,0,69,0,69,69,110,0,110,69,110,139,69,69,69,0,69
"75","YAR061W",110,0,69,0,69,69,110,110,110,0,69,69,110,69,69,69,69
"76","YAR064W",179,110,179,139,179,161,195,179,161,161,208,220,208,179,161,110,161
"77","YAR066W",139,69,139,139,110,69,139,110,110,69,161,139,179,110,110,69,69
"78","YAR069C",139,110,110,110,110,69,110,110,110,69,110,69,110,69,110,0,69
"79","YAR070C",139,139,69,110,69,69,110,110,69,0,0,69,69,0,69,0,69
"80","YAR071W",264,371,378,347,340,300,389,419,409,474,437,425,403,414,450,428,454
"81","YAR073W",139,161,208,161,161,161,208,179,179,161,139,179,179,110,195,110,179
"82","YAR075W",208,230,283,240,208,230,264,230,230,271,230,240,248,240,256,220,256
"83","YBL001C",391,389,411,366,369,353,389,369,358,385,358,361,353,366,378,347,383
"84","YBL002W",248,294,399,438,451,364,366,358,322,314,403,447,436,426,411,399,353
"85","YBL003C",343,314,409,426,455,366,401,376,347,350,403,430,409,413,443,397,369
"86","YBL004W",289,343,326,294,350,326,347,347,333,277,289,289,326,304,304,283,300
"87","YBL005W",326,340,314,289,289,264,277,283,283,240,248,256,277,264,277,277,277
"88","YBL006C",304,309,289,289,330,283,309,326,309,289,304,318,314,318,322,300,326
"89","YBL008W",139,139,161,110,139,139,110,161,139,69,110,110,139,69,110,69,69
"90","YBL009W",110,139,208,208,195,220,230,195,195,110,139,161,220,139,161,139,110
"91","YBL010C",110,139,195,139,110,139,110,139,139,110,139,161,161,110,69,110,69
"92","YBL014C",294,304,264,271,309,283,304,294,289,240,264,271,289,277,277,271,256
"93","YBL015W",304,240,256,283,309,277,256,271,283,264,283,289,294,264,256,248,271
"94","YBL016W",283,240,248,256,277,248,264,277,264,230,248,256,264,240,240,220,256
"95","YBL018C",322,326,347,330,337,300,333,326,309,277,277,294,314,289,314,264,283
"96","YBL023C",110,179,195,139,110,139,179,230,240,161,179,161,161,110,139,161,179
"97","YBL024W",314,364,383,330,347,343,378,353,343,340,326,326,337,356,333,322,333
"98","YBL025W",220,139,161,161,195,179,195,208,195,110,161,195,208,179,161,161,161
"99","YBL026W",381,337,333,343,389,353,374,366,347,326,330,347,350,337,364,333,340
"100","YBL027W",441,403,453,411,476,393,441,428,401,535,461,467,403,447,465,406,469
"101","YBL028C",314,318,333,314,350,309,347,340,322,330,304,337,322,333,353,309,350
"102","YBL030C",350,318,343,337,361,337,366,361,356,404,369,369,364,347,391,356,383
"103","YBL031W",0,0,110,139,110,110,69,69,69,0,69,110,161,69,0,0,0
"104","YBL032W",230,248,230,256,322,300,322,304,277,220,230,264,289,283,294,271,256
"105","YBL034C",195,220,264,230,240,264,230,230,208,161,208,208,240,179,179,179,161
"106","YBL035C",179,256,309,220,195,195,179,139,161,220,264,240,220,195,161,139,139
"107","YBL036C",289,326,340,289,300,314,356,330,326,318,309,314,314,326,330,304,330
"108","YBL037W",139,0,69,110,195,179,179,161,179,0,139,161,179,139,139,110,139
"109","YBL038W",364,304,309,309,381,337,356,340,340,364,378,385,356,364,356,340,376
"110","YBL039C",378,366,397,378,411,366,406,393,374,364,366,371,371,371,387,358,364
"111","YBL040C",350,289,330,340,326,304,350,318,326,304,326,330,347,318,353,289,304
"112","YBL041W",381,337,340,322,371,340,369,361,358,371,364,369,353,337,364,343,369
"113","YBL042C",358,326,294,314,343,314,353,353,353,314,309,322,353,322,343,322,330
"114","YBL043W",230,161,110,161,208,195,220,240,240,220,240,248,283,264,294,300,294
"115","YBL046W",220,240,289,248,248,248,240,230,230,195,240,230,248,220,208,208,179
"116","YBL048W",264,240,179,110,69,139,161,110,139,69,110,69,110,110,110,69,69
"117","YBL049W",240,208,161,69,69,110,139,110,110,0,69,69,110,110,110,110,69
"118","YBL050W",343,256,289,277,333,294,322,326,322,318,333,343,318,304,304,300,340
"119","YBL052C",179,139,139,195,240,230,248,240,220,139,161,208,240,208,220,195,195
"120","YBL053W",240,195,195,248,264,256,294,248,248,195,208,230,271,256,289,240,195
"121","YBL054W",361,389,381,369,395,366,393,374,353,314,322,337,337,318,340,304,322
"122","YBL056W",283,271,277,289,309,289,330,318,309,283,283,300,326,283,309,271,294
"123","YBL057C",330,326,330,314,326,294,330,337,318,294,294,304,314,289,309,294,304
"124","YBL061C",220,264,300,240,240,283,289,271,277,277,283,283,283,289,256,240,289
"125","YBL062W",314,271,318,309,309,289,333,294,314,304,326,326,322,309,330,300,294
"126","YBL063W",110,69,161,208,248,220,195,139,161,0,139,195,220,179,161,139,139
"127","YBL064C",374,309,283,240,256,230,230,240,256,230,271,277,271,240,230,220,264
"128","YBL065W",139,69,69,69,69,0,0,0,0,0,0,0,0,0,0,0,0
"129","YBL066C",69,0,0,0,69,69,69,69,69,0,0,0,0,0,0,0,0
"130","YBL068W",289,289,309,289,289,277,304,300,289,300,277,289,289,271,283,220,289
"131","YBL069W",139,69,0,69,139,139,139,139,69,0,0,69,110,0,69,0,0
"132","YBL071C",333,353,333,294,314,309,343,318,314,300,283,277,294,304,337,309,264
"133","YBL072C",465,484,520,473,512,458,506,480,453,563,525,507,467,514,527,514,523
"134","YBL075C",139,69,110,69,110,69,110,69,110,0,110,69,110,69,69,69,69
"135","YBL076C",326,330,337,347,404,358,383,383,364,356,374,376,361,361,371,356,383
"136","YBL077W",326,289,326,330,374,314,369,343,340,371,358,364,340,364,393,343,366
"137","YBL078C",289,110,69,161,161,161,195,195,220,220,240,256,256,230,248,179,248
"138","YBL079W",208,195,195,208,271,256,256,271,248,195,208,230,248,195,195,139,195
"139","YBL080C",161,69,69,110,139,139,139,161,139,69,110,161,179,110,110,69,161
"140","YBL081W",309,347,333,326,350,330,333,337,318,318,309,314,322,304,322,314,294
"141","YBL083C",353,369,364,356,358,350,364,381,364,300,333,337,369,350,371,358,364
"142","YBL084C",161,179,161,179,161,179,179,195,195,139,161,139,179,139,161,161,139
"143","YBL087C",264,309,340,300,283,264,333,289,264,389,337,309,256,294,337,283,318
"144","YBL088C",195,195,139,139,195,161,161,161,161,139,139,161,161,139,139,110,139
"145","YBL089W",179,69,139,110,139,139,161,139,179,69,161,161,179,161,161,139,139
"146","YBL090W",326,264,264,248,283,283,304,300,309,304,318,333,309,300,322,271,333
"147","YBL092W",471,465,478,452,498,423,485,458,434,548,496,488,444,492,515,489,502
"148","YBL093C",369,391,369,347,376,347,369,374,353,333,343,350,350,343,343,326,364
"149","YBL095W",139,69,69,110,161,161,161,161,161,110,139,161,161,110,139,69,161
"150","YBL096C",161,161,139,161,179,161,195,179,161,110,139,139,195,161,161,139,139
"151","YBL097W",0,69,69,69,110,110,110,110,69,0,69,69,110,110,69,0,69
"152","YBL101C",264,161,161,179,195,195,195,208,208,230,220,208,208,179,179,139,208
"153","YBL101W-A",381,322,333,340,353,309,358,333,330,264,340,322,340,347,326,309,350
"154","YBL103C",139,110,69,139,139,110,139,139,161,0,139,139,195,139,139,110,69
"155","YBL109W",179,264,179,230,195,220,248,195,179,69,110,110,179,179,161,139,69
"156","YBL111C",208,248,264,220,208,220,240,240,240,208,256,240,248,230,220,208,230
"157","YBL112C",309,220,326,277,326,264,304,294,300,337,340,353,314,294,289,230,337
"158","YBL113C",347,289,358,330,337,294,322,326,330,358,356,353,343,326,333,300,343
"159","YBR001C",264,139,161,179,195,161,161,161,179,161,195,195,195,110,139,110,161
"160","YBR002C",240,208,220,230,230,220,220,220,220,179,179,195,230,179,195,139,208
"161","YBR003W",240,161,110,161,161,179,195,179,208,179,208,220,230,179,208,161,195
"162","YBR004C",300,277,271,283,271,264,309,277,277,240,248,256,271,240,289,248,256
"163","YBR005W",277,230,195,256,277,248,294,300,271,230,230,240,248,220,256,248,277
"164","YBR006W",161,139,69,69,69,69,69,69,69,0,69,69,110,0,0,0,0
"165","YBR009C",374,406,444,411,429,401,436,406,385,460,441,436,403,436,466,442,441
"166","YBR010W",448,462,503,487,503,447,493,454,426,471,492,489,465,519,537,524,474
"167","YBR011C",347,356,395,371,395,366,411,366,369,395,376,374,383,378,401,364,366
"168","YBR012W-A",395,340,358,364,381,337,374,361,343,318,378,364,369,389,387,356,430
"169","YBR020W",69,139,69,69,69,110,69,110,69,69,0,0,69,69,69,69,0
"170","YBR021W",195,139,161,139,195,208,230,195,220,110,179,179,208,179,195,179,179
"171","YBR022W",277,161,240,208,240,208,256,220,230,208,248,256,220,230,240,179,264
"172","YBR023C",230,179,277,264,283,264,294,256,248,240,271,289,271,220,240,179,240
"173","YBR024W",322,248,220,230,248,230,240,256,256,230,248,256,264,220,240,195,248
"174","YBR025C",417,374,408,399,409,364,399,381,381,395,399,399,393,383,408,369,408
"175","YBR026C",277,208,179,179,179,179,161,195,208,195,220,240,248,179,179,161,195
"176","YBR028C",110,110,110,139,110,139,139,139,139,110,110,139,195,139,139,110,110
"177","YBR029C",300,314,283,294,300,283,340,314,326,289,300,289,333,300,322,318,289
"178","YBR031W",419,443,469,442,462,425,473,439,425,506,475,461,441,469,501,488,462
"179","YBR032W",69,179,161,110,110,110,110,110,110,69,69,69,69,69,69,69,69
"180","YBR034C",361,371,369,356,404,371,404,378,371,369,374,374,366,383,389,374,385
"181","YBR035C",343,277,330,318,364,326,366,343,340,347,364,378,350,358,361,356,381
"182","YBR036C",326,248,300,318,337,318,343,337,326,248,314,326,337,283,304,271,309
"183","YBR037C",195,110,69,110,139,161,139,161,179,139,161,179,195,139,161,110,161
"184","YBR038W",139,110,139,161,161,220,283,289,294,179,195,161,208,179,240,230,208
"185","YBR046C",248,220,139,110,110,139,139,139,161,139,139,161,179,179,179,179,139
"186","YBR047W",271,208,256,208,179,161,161,161,161,110,161,179,220,208,208,195,208
"187","YBR048W",425,409,426,419,456,383,438,419,393,474,438,430,403,434,453,428,432
"188","YBR050C",264,220,220,240,256,220,179,208,208,161,179,179,179,161,161,161,161
"189","YBR051W",69,0,0,69,69,0,0,0,0,0,0,0,0,0,0,0,0
"190","YBR052C",356,277,220,240,248,240,240,271,300,318,318,326,314,289,300,277,350
"191","YBR053C",322,264,161,139,161,161,179,230,256,248,277,277,271,220,240,208,271
"192","YBR054W",350,309,248,179,139,110,195,314,340,343,330,289,264,195,230,264,314
"193","YBR055C",208,264,240,220,230,240,256,264,248,220,208,220,240,179,240,195,208
"194","YBR056W",179,110,69,69,69,110,139,139,139,139,161,179,208,110,161,110,161
"195","YBR060C",195,69,179,179,208,195,195,208,208,139,161,195,208,161,179,139,179
"196","YBR061C",264,277,256,264,277,248,283,271,271,220,230,248,264,248,256,248,230
"197","YBR063C",240,195,161,179,195,195,230,220,220,161,161,179,208,139,179,139,139
"198","YBR064W",139,110,0,69,69,110,139,139,139,0,69,69,139,69,69,0,0
"199","YBR065C",139,110,0,69,110,110,110,139,110,0,69,110,139,69,69,0,69
"200","YBR066C",294,283,256,289,318,283,314,318,314,289,277,271,271,240,289,256,277
"201","YBR067C",428,419,378,353,304,289,277,304,318,277,277,256,248,230,264,271,333
"202","YBR070C",230,289,358,309,230,230,179,161,208,230,248,271,248,195,195,161,179
"203","YBR071W",330,385,411,326,330,326,289,248,304,383,406,371,337,318,300,294,333
"204","YBR072W",283,220,195,110,69,69,0,0,69,0,69,69,69,69,0,69,69
"205","YBR073W",361,369,423,383,404,358,366,343,343,353,395,403,371,343,337,318,326
"206","YBR075W",289,256,240,240,277,256,271,289,277,230,240,256,264,220,248,220,256
"207","YBR076W",240,195,179,195,220,195,208,195,179,161,139,161,161,161,179,161,139
"208","YBR078W",322,343,361,366,385,353,387,383,358,326,371,369,378,369,399,361,366
"209","YBR079C",322,378,356,356,404,364,391,397,369,387,374,369,364,366,378,343,369
"210","YBR081C",179,195,161,195,208,220,208,220,220,161,195,195,230,179,179,208,161
"211","YBR082C",441,462,466,436,451,429,456,437,419,443,443,430,430,436,464,463,444
"212","YBR083W",220,220,230,240,248,264,240,240,289,347,343,300,289,283,283,314,340
"213","YBR084C-A",428,413,447,428,463,399,445,428,409,500,453,453,422,444,466,436,454
"214","YBR084W",294,289,314,309,337,300,326,314,309,256,283,294,314,289,300,264,264
"215","YBR085W",256,179,179,240,264,230,220,220,208,161,161,195,195,161,161,139,161
"216","YBR087W",289,289,343,333,322,304,322,318,314,271,309,322,318,271,283,264,264
"217","YBR088C",330,366,430,408,371,333,309,289,289,374,414,413,383,340,337,283,318
"218","YBR089W",230,283,358,337,289,256,230,220,220,294,343,347,322,264,256,179,230
"219","YBR090C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"220","YBR092C",347,385,369,283,271,333,417,416,391,417,374,330,304,350,411,425,403
"221","YBR093C",333,426,461,426,399,369,426,425,420,478,449,428,422,441,483,474,460
"222","YBR094W",248,208,208,230,271,240,264,294,271,256,240,240,240,240,240,208,230
"223","YBR096W",347,289,277,300,304,289,340,314,322,294,318,330,330,300,337,289,309
"224","YBR099C",248,220,220,208,161,161,179,179,208,139,139,161,195,139,161,110,139
"225","YBR100W",220,208,208,195,179,195,139,195,208,161,179,195,195,110,161,139,179
"226","YBR101C",300,289,248,277,271,264,283,300,283,240,264,264,264,240,294,264,277
"227","YBR102C",69,110,69,69,69,110,161,161,139,69,110,69,139,69,110,69,110
"228","YBR105C",220,208,195,195,179,179,139,139,139,69,69,69,110,69,110,161,69
"229","YBR106W",383,413,449,417,420,401,444,409,397,448,428,414,408,445,467,451,425
"230","YBR107C",220,139,195,179,195,161,179,179,195,139,179,179,195,161,161,139,161
"231","YBR108W",208,110,110,139,161,139,161,161,161,110,139,161,179,139,110,69,139
"232","YBR109C",406,376,387,391,411,371,403,395,383,408,397,403,385,374,406,374,391
"233","YBR110W",248,179,208,240,195,208,220,230,240,179,208,230,256,195,220,195,208
"234","YBR111C",389,358,358,353,358,343,374,374,364,391,383,385,361,358,391,353,416
"235","YBR112C",230,240,248,264,314,289,264,294,264,230,256,277,283,248,240,220,240
"236","YBR113W",69,69,110,110,110,110,110,110,110,110,110,139,139,110,139,69,110
"237","YBR114W",208,179,110,69,110,110,110,161,161,0,69,69,110,0,69,0,69
"238","YBR116C",161,110,0,0,0,0,0,0,69,0,0,0,0,0,69,0,0
"239","YBR118W",425,455,479,436,475,429,469,444,416,534,477,454,425,470,504,497,483
"240","YBR120C",304,195,220,230,283,256,271,256,277,283,304,322,294,289,289,240,309
"241","YBR121C",391,376,391,393,428,374,409,393,383,393,391,397,383,378,395,374,383
"242","YBR122C",330,277,264,277,309,289,314,304,318,314,318,330,318,304,330,264,340
"243","YBR123C",208,139,161,208,256,240,240,248,230,208,195,220,240,208,220,179,208
"244","YBR124W",0,0,0,69,0,0,69,69,69,0,0,69,69,0,69,0,0
"245","YBR126C",314,208,179,220,240,230,220,240,264,230,277,277,283,220,240,230,256
"246","YBR127C",333,356,343,340,374,326,366,381,358,383,364,366,350,347,378,350,371
"247","YBR133C",208,110,161,195,248,248,256,248,248,139,208,220,256,220,230,195,208
"248","YBR137W",318,264,256,240,230,230,248,248,256,240,230,248,264,220,271,208,248
"249","YBR138C",161,139,110,139,161,220,256,283,277,161,161,161,208,195,230,240,230
"250","YBR139W",179,69,69,69,69,161,195,208,208,161,179,179,208,139,179,195,195
"251","YBR140C",220,248,240,208,179,240,256,220,248,248,240,208,230,179,220,208,208
"252","YBR142W",294,333,347,304,300,314,340,326,326,309,294,294,314,318,333,318,289
"253","YBR143C",403,385,419,409,436,387,434,413,401,413,414,419,404,419,429,397,420
"254","YBR145W",208,139,179,208,208,179,195,195,195,195,230,264,271,240,256,240,264
"255","YBR147W",139,69,69,110,110,110,139,139,139,69,110,110,161,110,139,110,179
"256","YBR152W",110,0,69,69,139,139,139,110,110,0,69,110,139,139,110,110,139
"257","YBR153W",256,161,220,220,256,230,264,248,248,208,220,248,230,220,230,179,264
"258","YBR154C",391,371,387,387,409,364,404,393,387,385,383,391,381,376,411,371,399
"259","YBR155W",264,264,220,240,277,248,240,256,248,208,208,220,230,195,220,195,220
"260","YBR156C",161,161,179,208,230,220,195,195,161,139,139,179,208,161,161,110,110
"261","YBR157C",208,195,139,139,110,139,69,179,240,208,220,179,195,69,110,139,195
"262","YBR158W",294,326,256,271,309,337,340,322,343,387,404,374,347,330,330,322,364
"263","YBR160W",304,340,369,333,314,333,353,326,314,304,337,326,322,300,309,309,277
"264","YBR161W",69,110,179,161,110,161,161,110,110,110,161,161,179,139,139,110,69
"265","YBR162C",330,347,417,416,449,395,432,406,393,425,432,444,417,432,426,403,409
"266","YBR162W-A",445,439,449,444,474,414,461,442,434,473,454,464,433,445,480,450,463
"267","YBR164C",322,294,309,304,304,294,322,322,309,304,309,314,300,283,314,277,309
"268","YBR168W",110,69,69,69,0,69,69,69,69,69,0,69,110,0,69,69,0
"269","YBR169C",271,195,139,110,110,139,110,110,110,110,110,110,139,139,139,139,139
"270","YBR171W",333,300,330,333,343,314,330,322,326,309,330,340,333,300,318,283,300
"271","YBR172C",326,300,283,294,333,304,326,318,309,283,271,294,309,289,304,294,304
"272","YBR173C",408,378,358,369,397,361,389,391,381,381,383,383,376,371,371,374,389
"273","YBR174C",110,0,0,69,0,69,69,110,110,0,69,69,110,69,69,0,69
"274","YBR176W",179,161,161,161,0,139,139,161,179,110,139,161,179,110,139,139,139
"275","YBR180W",69,0,0,69,69,0,69,0,69,0,0,0,69,69,69,0,0
"276","YBR181C",454,411,461,436,492,406,455,438,413,535,475,472,425,457,484,441,492
"277","YBR182C",208,110,69,161,179,139,161,161,139,69,110,139,161,110,110,69,110
"278","YBR183W",256,69,69,139,139,139,69,139,195,161,220,220,240,208,220,220,248
"279","YBR184W",179,110,69,139,139,110,69,69,69,0,0,69,110,0,0,0,0
"280","YBR187W",337,361,409,393,391,376,406,374,361,358,366,374,378,369,391,376,374
"281","YBR188C",304,314,304,289,304,283,314,304,300,271,304,300,304,294,304,304,300
"282","YBR189W",371,399,426,385,411,369,414,401,374,509,438,423,376,430,454,420,453
"283","YBR190W",0,69,0,69,0,0,0,69,69,0,69,69,69,0,69,0,0
"284","YBR191W",374,409,429,395,437,378,439,399,378,500,441,428,389,426,473,456,403
"285","YBR195C",248,195,230,208,220,195,220,220,220,195,208,230,220,161,195,139,208
"286","YBR196C",401,383,385,389,411,371,425,403,393,409,417,416,401,406,436,409,411
"287","YBR197C",195,161,139,161,179,195,139,195,195,139,139,161,208,161,161,139,161
"288","YBR198C",208,220,195,208,256,230,230,240,230,208,208,230,230,220,220,208,208
"289","YBR200W",240,248,195,179,179,208,240,283,277,220,240,220,220,161,208,208,240
"290","YBR201W",256,208,179,195,161,161,195,195,220,139,195,179,208,139,195,179,195
"291","YBR202W",161,240,195,161,139,179,248,300,304,264,256,208,208,179,240,277,264
"292","YBR205W",248,300,309,283,220,277,304,277,283,230,283,277,304,283,300,300,264
"293","YBR206W",393,414,429,408,404,381,416,385,385,401,416,401,401,437,447,441,404
"294","YBR208C",283,220,179,161,208,230,230,264,289,277,304,314,300,283,264,264,300
"295","YBR210W",343,322,322,337,322,318,343,337,337,283,304,318,333,304,330,294,314
"296","YBR213W",179,195,161,179,208,161,110,161,139,179,179,161,179,161,161,161,161
"297","YBR214W",248,161,110,161,139,139,110,139,179,161,179,179,179,139,161,161,139
"298","YBR216C",179,179,161,179,139,195,195,195,208,110,161,161,208,161,195,179,139
"299","YBR218C",304,358,337,318,333,356,376,369,364,378,369,356,358,369,385,409,378
"300","YBR220C",230,208,195,230,208,179,220,220,220,179,179,208,240,179,220,195,195
"301","YBR223C",110,69,0,0,69,69,0,69,69,69,0,69,69,69,0,69,0
"302","YBR228W",110,161,110,110,69,139,139,139,139,69,69,69,110,69,110,110,69
"303","YBR229C",161,195,139,139,110,161,139,139,179,139,161,139,179,110,139,161,110
"304","YBR230C",369,300,304,294,314,289,289,264,283,309,289,309,283,294,277,271,283
"305","YBR231C",230,195,220,179,179,179,179,195,208,195,208,208,195,179,179,139,220
"306","YBR233W",139,110,195,161,195,139,161,161,161,161,161,161,161,139,139,69,139
"307","YBR237W",110,110,69,69,69,110,0,139,139,110,69,110,110,0,69,69,110
"308","YBR238C",256,283,195,240,300,289,283,304,271,179,220,230,240,208,208,208,208
"309","YBR240C",69,0,0,69,0,0,0,0,0,0,0,0,69,0,0,0,0
"310","YBR243C",139,110,179,195,179,179,195,161,161,110,161,195,220,195,179,161,69
"311","YBR244W",220,139,161,179,179,161,179,179,195,195,208,230,230,195,220,161,230
"312","YBR245C",240,220,248,240,277,248,248,256,256,248,256,271,256,220,208,195,240
"313","YBR250W",139,69,0,69,69,0,0,69,0,0,0,0,0,0,0,0,0
"314","YBR257W",318,264,271,294,326,309,322,318,309,248,277,300,294,283,294,264,314
"315","YBR258C",283,220,208,240,240,240,248,248,256,208,230,248,248,208,248,195,256
"316","YBR262C",326,309,294,300,322,322,330,333,322,314,318,326,309,314,337,294,353
"317","YBR263W",300,326,309,314,322,300,330,337,326,330,318,309,309,309,318,271,322
"318","YBR266C",179,277,256,230,208,256,264,256,264,139,195,195,256,220,230,208,195
"319","YBR267W",289,371,356,318,314,330,347,340,309,248,271,264,300,283,294,304,264
"320","YBR268W",300,350,326,277,277,322,330,309,309,333,330,326,304,322,337,337,347
"321","YBR269C",314,179,195,240,271,248,256,248,256,240,248,271,256,240,240,230,264
"322","YBR270C",220,139,161,161,179,179,161,161,179,139,139,161,161,139,139,110,139
